"Симптом","масса"
"зуд","1"
"кожная_сыпь","3"
"узловые_кожные_высыпания","4"
"непрерывное_чихание","4"
"дрожь","5"
"озноб","3"
"боль_в_суставах","3"
"боль_в_животе","5"
"кислотность","3"
"язвы_на_языке","4"
"атрофия_мышц","3"
"рвота","5"
"жгучее_мочеиспускание","6"
"кровянистые_выделения_при_мочеиспускании","6"
"усталость","4"
"увеличение_веса","3"
"беспокойство","4"
"холодные_руки_и_ноги","5"
"перепады_настроения","3"
"потеря_веса","3"
"беспокойство","5"
"вялость","2"
"пятна_в_горле","6"
"нерегулярный_уровень_сахара","5"
"кашель","4"
"высокая_температура","7"
"запавшие_глаза","3"
"одышка","4"
"потливость","3"
"обезвоживание","4"
"расстройство_желудка","5"
"головная_боль","3"
"желтоватая_кожа","3"
"темная_моча","4"
"тошнота","5"
"потеря_аппетита","4"
"боль_за_глазами","4"
"боль_в_спине","3"
"запор","4"
"боль_в_животе","4"
"диарея","6"
"слабая_лихорадка","5"
"желтая_моча","4"
"пожелтение_глаз","4"
"острая_печеночная_недостаточность","6"
"перегрузка_жидкостью","6"
"вздутие_живота","7"
"опухшие_лимфатические_узлы","6"
"недомогание","6"
"затуманенное_и_искаженное_зрение","5"
"мокрота","5"
"раздражение_горла","4"
"покраснение_глаз","5"
"давление_пазухи","4"
"насморк","5"
"скопление","5"
"боль_в_груди","7"
"слабость_в_конечностях","7"
"быстрый_сердечный_ритм","5"
"боль_во_время_дефекации","5"
"боль_в_анальной_области","6"
"кровавый_стул","5"
"раздражение_в_анусе","6"
"боль_в_шее","5"
"головокружение","4"
"судороги","4"
"синяки","4"
"ожирение","4"
"опухшие_ноги","5"
"опухшие_кровеносные_сосуды","5"
"опухшее_лицо_и_глаза","5"
"увеличенная_щитовидная_железа","6"
"ломкие_ногти","5"
"опухшие_крайности","5"
"чрезмерный_голод","4"
"внебрачные_контакты","5"
"сохнут_и_покалывают_губы","4"
"невнятная_речь","4"
"боль_в_колене","3"
"боль_в_тазобедренном_суставе","2"
"мышечная_слабость","2"
"скованность_мышц_шеи","4"
"опухшие_суставы","5"
"скованность_движений","5"
"вращательные_движения","6"
"потеря_равновесия","4"
"неустойчивость","4"
"слабость_одной_стороны_тела","4"
"потеря_обоняния","3"
"дискомфорт_в_мочевом_пузыре","4"
"неприятный_запах_мочи","5"
"постоянное_ощущение_мочи","6"
"прохождение_газов","5"
"внутренний_зуд","4"
"токсичный_вид_(тиф)","5"
"депрессия","3"
"раздражительность","2"
"боли_в_мышцах","2"
"измененная_сенсорика","2"
"красные_пятна_по_телу","3"
"боль_в_животе","4"
"аномальная_менструация","6"
"дисхромные_пятна","6"
"слезоточивость_из_глаз","4"
"повышенный_аппетит","5"
"полиурия","4"
"история_семьи","5"
"слизистая_мокрота","4"
"ржавая_мокрота","4"
"нехватка_концентрации","3"
"нарушения_зрения","3"
"получение_переливания_крови","5"
"получение_нестерильных_инъекций","2"
"кома","7"
"желудочное_кровотечение","6"
"вздутие_живота","4"
"история_употребления_алкоголя","5"
"перегрузка_жидкостью","4"
"кровь_в_мокроте","5"
"выступающие_вены_на_икре","6"
"сердцебиение","4"
"болезненная_ходьба","2"
"прыщи,_наполненные_гноем","2"
"угри","2"
"несущийся","2"
"шелушение_кожи","3"
"серебро,_как_пыль","2"
"небольшие_вмятины_на_ногтях","2"
"воспаленные_ногти","2"
"волдырь","4"
"красная_болячка_вокруг_носа","2"
"желтая_корка_слизь","3"
"прогноз","5"
