"Болезнь","Симптом_1","Симптом_2","Симптом_3","Симптом_4","Симптом_5","Симптом_6","Симптом_7","Симптом_8","Симптом_9","Симптом_10","Симптом_11","Симптом_12","Симптом_13","Симптом_14","Симптом_15","Симптом_16","Симптом_17"
"Грибковая_инфекция","зуд","кожная_сыпь","узловые_кожные_высыпания","дисхромные_пятна","","","","","","","","","","","","",""
"Грибковая_инфекция","кожная_сыпь","узловые_кожные_высыпания","дисхромные_пятна","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","узловые_кожные_высыпания","дисхромные_пятна","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","кожная_сыпь","дисхромные_пятна","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","кожная_сыпь","узловые_кожные_высыпания","","","","","","","","","","","","","",""
"Грибковая_инфекция","кожная_сыпь","узловые_кожные_высыпания","дисхромные_пятна","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","узловые_кожные_высыпания","дисхромные_пятна","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","кожная_сыпь","дисхромные_пятна","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","кожная_сыпь","узловые_кожные_высыпания","","","","","","","","","","","","","",""
"Грибковая_инфекция","зуд","кожная_сыпь","узловые_кожные_высыпания","дисхромные_пятна","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","дрожь","озноб","слезоточивость_из_глаз","","","","","","","","","","","","",""
"Аллергия","дрожь","озноб","слезоточивость_из_глаз","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","озноб","слезоточивость_из_глаз","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","дрожь","слезоточивость_из_глаз","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","дрожь","озноб","","","","","","","","","","","","","",""
"Аллергия","дрожь","озноб","слезоточивость_из_глаз","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","озноб","слезоточивость_из_глаз","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","дрожь","слезоточивость_из_глаз","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","дрожь","озноб","","","","","","","","","","","","","",""
"Аллергия","непрерывное_чихание","дрожь","озноб","слезоточивость_из_глаз","","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","язвы_на_языке","рвота","кашель","боль_в_груди","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","язвы_на_языке","рвота","кашель","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","рвота","кашель","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","язвы_на_языке","кашель","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","язвы_на_языке","рвота","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","язвы_на_языке","рвота","кашель","","","","","","","","","","","",""
"ГЭРБ","кислотность","язвы_на_языке","рвота","кашель","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","язвы_на_языке","рвота","кашель","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","рвота","кашель","боль_в_груди","","","","","","","","","","","",""
"ГЭРБ","боль_в_животе","кислотность","язвы_на_языке","кашель","боль_в_груди","","","","","","","","","","","",""
"Хронический_холестаз","зуд","рвота","желтоватая_кожа","тошнота","потеря_аппетита","боль_в_животе","пожелтение_глаз","","","","","","","","","",""
