Болезнь,Описание
Реакция на лекарство,"Неблагоприятная лекарственная реакция (НЛР) – это травма, вызванная приемом лекарств. Нежелательные реакции могут возникать после однократного приема или длительного приема препарата, а также в результате комбинации двух или более препаратов."
Малярия,"Инфекционное заболевание, вызываемое простейшими паразитами семейства Plasmodium, которое может передаваться через укус комара Anopheles, через зараженную иглу или при переливании крови. Малярия Falciparum — самый смертоносный тип."
Аллергия,"Аллергия — это реакция иммунной системы на инородное вещество, которое обычно не вредно для вашего организма. К ним могут относиться определенные продукты, пыльца или перхоть домашних животных. Задача вашей иммунной системы — поддерживать ваше здоровье, борясь с вредными патогенами."
Гипотиреоз,"Гипотиреоз, также называемый пониженной активностью щитовидной железы или пониженной активностью щитовидной железы, представляет собой заболевание эндокринной системы, при котором щитовидная железа не производит достаточного количества гормонов щитовидной железы."
Псориаз,"Псориаз — распространенное заболевание кожи, при котором образуются толстые, красные, бугристые пятна, покрытые серебристыми чешуйками. Они могут появиться где угодно, но чаще всего появляются на коже головы, локтях, коленях и пояснице. Псориаз не передается от человека к человеку. Иногда это случается у членов одной семьи."
ГЭРБ,"Гастроэзофагеальная рефлюксная болезнь, или ГЭРБ, представляет собой расстройство пищеварения, поражающее нижний пищеводный сфинктер (НПС), мышечное кольцо между пищеводом и желудком. Многие люди, в том числе беременные женщины, страдают от изжоги или кислотного расстройства желудка, вызванного ГЭРБ."
Хронический холестаз,"Хронические холестатические заболевания, возникающие в младенчестве, детстве или взрослом возрасте, характеризуются нарушением транспорта желчных кислот из печени в кишечник, что в большинстве случаев обусловлено первичным повреждением эпителия желчных путей."
гепатит А,"Гепатит А – высококонтагиозная инфекция печени, вызываемая вирусом гепатита А. Вирус является одним из нескольких типов вирусов гепатита, которые вызывают воспаление и влияют на способность печени функционировать."
Остеоартрис,"Остеоартрит — наиболее распространенная форма артрита, от которой страдают миллионы людей во всем мире. Это происходит, когда защитный хрящ, смягчающий концы костей, со временем изнашивается."
(головокружение) Пароймсальное позиционное головокружение,"Доброкачественное пароксизмальное позиционное головокружение (ДППГ) является одной из наиболее частых причин головокружения — внезапного ощущения, что вы кружитесь или что у вас кружится внутренняя часть головы. Доброкачественное пароксизмальное позиционное головокружение вызывает короткие эпизоды головокружения от легкой до сильной степени."
Гипогликемия,"Гипогликемия — это состояние, при котором уровень сахара (глюкозы) в крови ниже нормы. Глюкоза является основным источником энергии вашего организма. Гипогликемия часто связана с лечением диабета. Но другие лекарства и ряд состояний (многие из которых редки) могут вызывать низкий уровень сахара в крови у людей, не страдающих диабетом."
Акне,"Обыкновенные угри — это образование комедонов, папул, пустул, узелков и/или кист в результате обструкции и воспаления волосяно-сальных единиц (волосяных фолликулов и сопровождающих их сальных желез). Прыщи развиваются на лице и верхней части туловища. Чаще всего поражает подростков."
Диабет,"Диабет — это заболевание, которое возникает, когда уровень глюкозы в крови, также называемый сахаром в крови, слишком высок. Глюкоза в крови является основным источником энергии и поступает из пищи, которую вы едите. Инсулин, гормон, вырабатываемый поджелудочной железой, помогает глюкозе из пищи проникать в клетки и использоваться для получения энергии."
Импетиго,"Импетиго (im-puh-TIE-go) — распространенная и очень заразная инфекция кожи, поражающая преимущественно младенцев и детей. Импетиго обычно проявляется в виде красных язв на лице, особенно вокруг носа и рта ребенка, а также на руках и ногах. Язвы лопаются и покрываются корками медового цвета."
Гипертония,"Гипертония (АГ или АГ), также известная как высокое кровяное давление (ГАД), представляет собой хроническое заболевание, при котором кровяное давление в артериях постоянно повышено. Высокое кровяное давление обычно не вызывает симптомов."
Язвенная болезнь желудка,"Язвенная болезнь (ЯБ) – это разрыв внутренней оболочки желудка, первой части тонкой кишки или иногда нижнего отдела пищевода. Язва в желудке называется язвой желудка, а в первом отделе кишечника — язвой двенадцатиперстной кишки."
Диморфный геморрой (сваи),"Геморрой, также называемый геморроем, представляет собой сосудистые структуры в анальном канале. В их... Другие названия: Геморрой, геморрой, геморрой."
Простуда,"Простуда — это вирусная инфекция носа и горла (верхних дыхательных путей). Обычно это безвредно, хотя может показаться, что это не так. Многие типы вирусов могут вызвать простуду."
Ветряная оспа,"Ветряная оспа – высококонтагиозное заболевание, вызываемое вирусом ветряной оспы (VZV). Это может вызвать зудящую сыпь, похожую на волдыри. Сыпь сначала появляется на груди, спине и лице, а затем распространяется по всему телу, вызывая от 250 до 500 зудящих волдырей."
